,Rank,Movie,Year,Crew,IMDB Ratings,User Reviews
181,182,12 Years a Slave,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,716611
182,183,Before Sunrise,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,321027
183,184,The Grand Budapest Hotel,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,840385
184,185,Ben-Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,245437
185,186,On the Waterfront,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,158685
186,187,Gone Girl,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,1010151
187,188,The General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,94015 
188,189,Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1,174035
189,190,Wild Strawberries,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,110141
190,191,In the Name of the Father,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,180074
191,192,The Deer Hunter,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,347098
192,193,Hacksaw Ridge,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,551271
193,194,The Third Man,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,175536
194,195,The Wages of Fear,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,63261 
195,196,Memories of Murder,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.1,196425
196,197,Sherlock Jr.,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,52582 
197,198,Wild Tales,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,205674
198,199,Mr. Smith Goes to Washington,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,117737
199,200,Mad Max: Fury Road,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,1031855
200,201,Mary and Max,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,180971
201,202,Dead Poets Society,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1,511023
202,203,How to Train Your Dragon,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,762756
203,204,"Monsters, Inc.",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.1,933794
204,205,The Seventh Seal,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1,190143
205,206,Jaws,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.1,625268
206,207,Room,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,432360
